class,x1-x0,y1-y0,z1-z0,x2-x1,y2-y1,z2-z1,x3-x2,y3-y2,z3-z2,x4-x3,y4-y3,z4-z3,x5-x4,y5-y4,z5-z4,x6-x5,y6-y5,z6-z5,x7-x6,y7-y6,z7-z6,x8-x7,y8-y7,z8-z7,x9-x8,y9-y8,z9-z8,x10-x9,y10-y9,z10-z9,x11-x10,y11-y10,z11-z10,x12-x11,y12-y11,z12-z11,x13-x12,y13-y12,z13-z12,x14-x13,y14-y13,z14-z13,x15-x14,y15-y14,z15-z14,x16-x15,y16-y15,z16-z15,x17-x16,y17-y16,z17-z16,x18-x17,y18-y17,z18-z17,x19-x18,y19-y18,z19-z18,x20-x19,y20-y19,z20-z19,x21-x20,y21-y20,z21-z20,x22-x21,y22-y21,z22-z21,x23-x22,y23-y22,z23-z22,x24-x23,y24-y23,z24-z23,x25-x24,y25-y24,z25-z24,x26-x25,y26-y25,z26-z25,x27-x26,y27-y26,z27-z26,x28-x27,y28-y27,z28-z27,x29-x28,y29-y28,z29-z28,x30-x29,y30-y29,z30-z29,x31-x30,y31-y30,z31-z30,x32-x31,y32-y31,z32-z31,x33-x32,y33-y32,z33-z32,x34-x33,y34-y33,z34-z33,x35-x34,y35-y34,z35-z34,x36-x35,y36-y35,z36-z35,x37-x36,y37-y36,z37-z36,x38-x37,y38-y37,z38-z37,x39-x38,y39-y38,z39-z38,x40-x39,y40-y39,z40-z39,x41-x40,y41-y40,z41-z40,x42-x41,y42-y41,z42-z41,x43-x42,y43-y42,z43-z42,x44-x43,y44-y43,z44-z43,x45-x44,y45-y44,z45-z44,x46-x45,y46-y45,z46-z45,x47-x46,y47-y46,z47-z46,x48-x47,y48-y47,z48-z47,x49-x48,y49-y48,z49-z48,x50-x49,y50-y49,z50-z49,x51-x50,y51-y50,z51-z50,x52-x51,y52-y51,z52-z51,x53-x52,y53-y52,z53-z52,x54-x53,y54-y53,z54-z53,x55-x54,y55-y54,z55-z54,x56-x55,y56-y55,z56-z55,x57-x56,y57-y56,z57-z56,x58-x57,y58-y57,z58-z57,x59-x58,y59-y58,z59-z58,x60-x59,y60-y59,z60-z59,x61-x60,y61-y60,z61-z60,x62-x61,y62-y61,z62-z61,x63-x62,y63-y62,z63-z62,x64-x63,y64-y63,z64-z63,x65-x64,y65-y64,z65-z64,x66-x65,y66-y65,z66-z65,x67-x66,y67-y66,z67-z66,x68-x67,y68-y67,z68-z67,x69-x68,y69-y68,z69-z68,x70-x69,y70-y69,z70-z69,x71-x70,y71-y70,z71-z70,x72-x71,y72-y71,z72-z71,x73-x72,y73-y72,z73-z72,x74-x73,y74-y73,z74-z73,x75-x74,y75-y74,z75-z74,x76-x75,y76-y75,z76-z75,x77-x76,y77-y76,z77-z76,x78-x77,y78-y77,z78-z77,x79-x78,y79-y78,z79-z78,x80-x79,y80-y79,z80-z79,x81-x80,y81-y80,z81-z80,x82-x81,y82-y81,z82-z81,x83-x82,y83-y82,z83-z82,x84-x83,y84-y83,z84-z83,x85-x84,y85-y84,z85-z84,x86-x85,y86-y85,z86-z85,x87-x86,y87-y86,z87-z86,x88-x87,y88-y87,z88-z87,x89-x88,y89-y88,z89-z88,minx,miny,mine,maxx,maxy,maxe
1,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,-1,0,1.0,0,-1,1.0,0,0,0.0,0,-1,1.0,-1,-1,1.4142135623730951,-1,-2,2.23606797749979,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,-1,1.0,0,-1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,1,1.0,0,0,0.0,0,1,1.0,-2,2,2.8284271247461903,-3,1,3.1622776601683795,-2,5,5.385164807134504,-5,4,6.4031242374328485,-5,5,7.0710678118654755,-7,6,9.219544457292887,-9,4,9.848857801796104,-3,5,5.830951894845301,-8,5,9.433981132056603,-7,4,8.06225774829855,-6,5,7.810249675906654,-7,5,8.602325267042627,-8,6,10.0,-9,6,10.816653826391969,-7,7,9.899494936611665,-10,8,12.806248474865697,-10,7,12.206555615733702,-10,8,12.806248474865697,-11,9,14.212670403551895,-10,10,14.142135623730951,-8,8,11.313708498984761,-8,9,12.041594578792296,-7,9,11.40175425099138,-8,9,12.041594578792296,-5,9,10.295630140987,-5,8,9.433981132056603,-4,7,8.06225774829855,-3,7,7.615773105863909,-1,5,5.0990195135927845,-1,5,5.0990195135927845,0,3,3.0,-1,1,1.4142135623730951,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,-1,1.0,0,-1,1.0,0,-1,1.0,0,-1,1.0,0,0,0.0,0,-2,2.0,0,-1,1.0,0,-1,1.0,-1,-1,1.4142135623730951,-1,-1,1.4142135623730951,-1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,11,10,14.212670403551895
1,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,-1,-1,1.4142135623730951,0,-1,1.0,-1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,-1,1.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,1,1.0,0,1,1.0,-3,4,5.0,-4,3,5.0,-5,4,6.4031242374328485,-6,4,7.211102550927978,-6,4,7.211102550927978,-5,4,6.4031242374328485,-6,3,6.708203932499369,-5,4,6.4031242374328485,-5,3,5.830951894845301,-5,4,6.4031242374328485,-5,4,6.4031242374328485,-6,4,7.211102550927978,-6,4,7.211102550927978,-6,6,8.48528137423857,-7,5,8.602325267042627,-7,6,9.219544457292887,-7,6,9.219544457292887,-5,6,7.810249675906654,-5,6,7.810249675906654,-5,5,7.0710678118654755,-5,7,8.602325267042627,-3,6,6.708203932499369,-3,6,6.708203932499369,-2,5,5.385164807134504,-2,5,5.385164807134504,-1,5,5.0990195135927845,-1,3,3.1622776601683795,0,3,3.0,-1,2,2.23606797749979,0,1,1.0,0,1,1.0,0,0,0.0,-1,-1,1.4142135623730951,0,0,0.0,-1,-1,1.4142135623730951,-1,-1,1.4142135623730951,0,0,0.0,0,-1,1.0,-1,0,1.0,0,-1,1.0,0,0,0.0,0,-1,1.0,-1,0,1.0,-2,-1,2.23606797749979,-2,-2,2.8284271247461903,-2,-1,2.23606797749979,-3,0,3.0,-2,0,2.0,-2,-1,2.23606797749979,-2,0,2.0,-1,1,1.4142135623730951,0,0,0.0,7,7,9.219544457292887
1,2,-2,2.8284271247461903,0,-5,5.0,-2,-5,5.385164807134504,-1,-5,5.0990195135927845,2,1,2.23606797749979,0,-7,7.0,-1,-2,2.23606797749979,0,0,0.0,1,4,4.123105625617661,-2,-2,2.8284271247461903,0,4,4.0,1,3,3.1622776601683795,-1,-3,3.1622776601683795,-2,1,2.23606797749979,-1,-2,2.23606797749979,0,-1,1.0,-1,-2,2.23606797749979,0,-1,1.0,-1,-1,1.4142135623730951,2,-2,2.8284271247461903,-1,-4,4.123105625617661,1,-2,2.23606797749979,-1,1,1.4142135623730951,2,-2,2.8284271247461903,1,-2,2.23606797749979,0,3,3.0,0,1,1.0,0,0,0.0,1,0,1.0,0,-4,4.0,1,-1,1.4142135623730951,0,4,4.0,-1,-3,3.1622776601683795,0,4,4.0,0,-3,3.0,0,0,0.0,0,2,2.0,1,5,5.0990195135927845,2,-2,2.8284271247461903,1,0,1.0,0,4,4.0,1,-4,4.123105625617661,1,-1,1.4142135623730951,0,1,1.0,-1,1,1.4142135623730951,0,2,2.0,-1,1,1.4142135623730951,2,-2,2.8284271247461903,1,-2,2.23606797749979,0,2,2.0,0,0,0.0,2,0,2.0,0,-1,1.0,0,0,0.0,0,2,2.0,1,-2,2.23606797749979,1,-3,3.1622776601683795,1,-2,2.23606797749979,-1,2,2.23606797749979,-1,1,1.4142135623730951,-1,-1,1.4142135623730951,1,-1,1.4142135623730951,1,2,2.23606797749979,1,-3,3.1622776601683795,0,5,5.0,1,-6,6.082762530298219,0,-3,3.0,0,4,4.0,1,2,2.23606797749979,0,-6,6.0,1,-3,3.1622776601683795,0,0,0.0,1,1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,-1,0,1.0,0,-2,2.0,0,1,1.0,0,2,2.0,1,0,1.0,-1,0,1.0,0,1,1.0,-1,-2,2.23606797749979,0,2,2.0,1,3,3.1622776601683795,-2,0,2.0,1,2,2.23606797749979,0,2,2.0,1,-1,1.4142135623730951,0,0,0.0,2,7,7.0
1,0,-2,2.0,0,-1,1.0,0,1,1.0,-1,-1,1.4142135623730951,0,0,0.0,1,-1,1.4142135623730951,0,0,0.0,-1,-2,2.23606797749979,-1,2,2.23606797749979,0,-1,1.0,1,0,1.0,0,-2,2.0,-1,0,1.0,0,-2,2.0,-2,-1,2.23606797749979,-1,1,1.4142135623730951,0,-1,1.0,0,-1,1.0,0,-2,2.0,0,-1,1.0,0,0,0.0,-1,-1,1.4142135623730951,1,-1,1.4142135623730951,0,2,2.0,0,1,1.0,0,-1,1.0,0,0,0.0,0,0,0.0,-2,-2,2.8284271247461903,-1,-1,1.4142135623730951,-3,-1,3.1622776601683795,0,-3,3.0,-1,3,3.1622776601683795,2,0,2.0,-1,0,1.0,-1,-1,1.4142135623730951,0,-3,3.0,1,-2,2.23606797749979,1,-4,4.123105625617661,0,-2,2.0,0,3,3.0,0,-3,3.0,2,-2,2.8284271247461903,0,0,0.0,-1,2,2.23606797749979,-1,3,3.1622776601683795,-2,4,4.47213595499958,0,-1,1.0,5,-2,5.385164807134504,2,0,2.0,0,-5,5.0,3,-1,3.1622776601683795,1,-4,4.123105625617661,2,2,2.8284271247461903,-1,2,2.23606797749979,0,-1,1.0,1,-2,2.23606797749979,-1,0,1.0,1,0,1.0,-3,-2,3.605551275463989,-2,0,2.0,2,-3,3.605551275463989,-3,6,6.708203932499369,2,-4,4.47213595499958,-2,4,4.47213595499958,2,-5,5.385164807134504,2,-2,2.8284271247461903,0,4,4.0,0,2,2.0,3,-1,3.1622776601683795,0,-3,3.0,1,-4,4.123105625617661,3,2,3.605551275463989,0,0,0.0,1,-1,1.4142135623730951,-2,-2,2.8284271247461903,-2,-6,6.324555320336759,0,2,2.0,-1,1,1.4142135623730951,0,5,5.0,-1,-1,1.4142135623730951,-1,2,2.23606797749979,-3,0,3.0,-1,1,1.4142135623730951,-2,3,3.605551275463989,0,2,2.0,2,3,3.605551275463989,1,-2,2.23606797749979,2,3,3.605551275463989,0,0,0.0,5,6,6.708203932499369
1,1,1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,1,1.0,1,0,1.0,1,-1,1.4142135623730951,0,0,0.0,1,1,1.4142135623730951,2,0,2.0,1,1,1.4142135623730951,1,0,1.0,1,0,1.0,2,1,2.23606797749979,1,0,1.0,1,0,1.0,1,1,1.4142135623730951,2,1,2.23606797749979,2,1,2.23606797749979,2,1,2.23606797749979,2,1,2.23606797749979,1,1,1.4142135623730951,2,2,2.8284271247461903,2,1,2.23606797749979,2,3,3.605551275463989,2,1,2.23606797749979,2,2,2.8284271247461903,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,2,1,2.23606797749979,2,1,2.23606797749979,2,2,2.8284271247461903,1,1,1.4142135623730951,2,0,2.0,2,-3,3.605551275463989,1,1,1.4142135623730951,0,2,2.0,0,2,2.0,0,2,2.0,0,3,3.0,1,2,2.23606797749979,0,1,1.0,0,0,0.0,-1,-1,1.4142135623730951,-2,-3,3.605551275463989,-3,-4,5.0,-3,-5,5.830951894845301,-3,-4,5.0,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-3,-3,4.242640687119285,-2,-3,3.605551275463989,0,-2,2.0,1,-1,1.4142135623730951,3,0,3.0,3,2,3.605551275463989,4,4,5.656854249492381,4,5,6.4031242374328485,2,4,4.47213595499958,1,4,4.123105625617661,0,3,3.0,-2,1,2.23606797749979,-2,-1,2.23606797749979,-3,-2,3.605551275463989,-1,-3,3.1622776601683795,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-3,3.605551275463989,-3,-3,4.242640687119285,-3,-4,5.0,0,0,0.0,4,5,6.4031242374328485
1,0,1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,1,0,1.0,0,0,0.0,1,0,1.0,2,0,2.0,1,1,1.4142135623730951,1,0,1.0,1,0,1.0,1,0,1.0,2,1,2.23606797749979,1,0,1.0,1,1,1.4142135623730951,2,1,2.23606797749979,1,1,1.4142135623730951,2,0,2.0,2,2,2.8284271247461903,1,1,1.4142135623730951,2,1,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,1,1,1.4142135623730951,1,1,1.4142135623730951,0,2,2.0,0,2,2.0,1,3,3.1622776601683795,0,3,3.0,0,3,3.0,0,1,1.0,0,0,0.0,-1,-1,1.4142135623730951,-1,-2,2.23606797749979,-2,-4,4.47213595499958,-3,-5,5.830951894845301,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-3,3.605551275463989,-2,-3,3.605551275463989,0,-2,2.0,1,0,1.0,3,0,3.0,3,3,4.242640687119285,4,4,5.656854249492381,3,6,6.708203932499369,3,5,5.830951894845301,0,5,5.0,0,3,3.0,-1,1,1.4142135623730951,-2,0,2.0,-2,-2,2.8284271247461903,-2,-3,3.605551275463989,-1,-4,4.123105625617661,-2,-5,5.385164807134504,-1,-3,3.1622776601683795,-2,-4,4.47213595499958,-2,-3,3.605551275463989,-3,-4,5.0,0,0,0.0,4,6,6.708203932499369
1,0,1,1.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,0,0.0,1,0,1.0,1,0,1.0,0,0,0.0,1,0,1.0,1,0,1.0,1,0,1.0,1,0,1.0,2,1,2.23606797749979,1,0,1.0,1,1,1.4142135623730951,1,0,1.0,2,0,2.0,1,1,1.4142135623730951,1,1,1.4142135623730951,2,1,2.23606797749979,1,1,1.4142135623730951,2,1,2.23606797749979,1,1,1.4142135623730951,2,2,2.8284271247461903,1,2,2.23606797749979,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,1,2,2.23606797749979,2,3,3.605551275463989,1,2,2.23606797749979,1,3,3.1622776601683795,1,2,2.23606797749979,2,3,3.605551275463989,1,2,2.23606797749979,1,3,3.1622776601683795,1,2,2.23606797749979,0,3,3.0,1,3,3.1622776601683795,0,3,3.0,1,3,3.1622776601683795,0,4,4.0,0,1,1.0,0,0,0.0,0,0,0.0,-1,-3,3.1622776601683795,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-2,-4,4.47213595499958,-1,-3,3.1622776601683795,-1,-3,3.1622776601683795,-2,-3,3.605551275463989,0,-2,2.0,1,-1,1.4142135623730951,3,1,3.1622776601683795,3,3,4.242640687119285,3,4,5.0,3,6,6.708203932499369,2,6,6.324555320336759,1,5,5.0990195135927845,0,3,3.0,-1,2,2.23606797749979,-2,0,2.0,-2,-2,2.8284271247461903,-1,-3,3.1622776601683795,-1,-4,4.123105625617661,-1,-4,4.123105625617661,-1,-4,4.123105625617661,-2,-3,3.605551275463989,-2,-4,4.47213595499958,-1,-3,3.1622776601683795,0,0,0.0,3,6,6.708203932499369
1,1,0,1.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,-1,0,1.0,1,0,1.0,0,0,0.0,0,-1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,1,-1,1.4142135623730951,1,0,1.0,1,0,1.0,1,1,1.4142135623730951,2,0,2.0,1,0,1.0,1,0,1.0,1,0,1.0,2,1,2.23606797749979,1,0,1.0,2,0,2.0,1,1,1.4142135623730951,2,1,2.23606797749979,2,1,2.23606797749979,1,1,1.4142135623730951,2,1,2.23606797749979,2,1,2.23606797749979,1,1,1.4142135623730951,2,2,2.8284271247461903,2,2,2.8284271247461903,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,1,1,1.4142135623730951,1,2,2.23606797749979,1,2,2.23606797749979,2,1,2.23606797749979,1,2,2.23606797749979,1,2,2.23606797749979,0,2,2.0,0,1,1.0,-1,3,3.1622776601683795,0,2,2.0,-1,3,3.1622776601683795,0,3,3.0,0,3,3.0,0,1,1.0,0,0,0.0,-1,0,1.0,-1,-2,2.23606797749979,-3,-4,5.0,-2,-4,4.47213595499958,-3,-4,5.0,-2,-4,4.47213595499958,-2,-3,3.605551275463989,-2,-2,2.8284271247461903,-1,-3,3.1622776601683795,-1,-2,2.23606797749979,1,-1,1.4142135623730951,3,1,3.1622776601683795,3,2,3.605551275463989,3,4,5.0,3,5,5.830951894845301,2,5,5.385164807134504,0,4,4.0,0,3,3.0,-2,2,2.8284271247461903,-2,0,2.0,-3,-2,3.605551275463989,-1,-3,3.1622776601683795,-1,-4,4.123105625617661,-2,-3,3.605551275463989,-1,-4,4.123105625617661,-2,-3,3.605551275463989,-3,-3,4.242640687119285,-2,-3,3.605551275463989,0,0,0.0,3,5,5.830951894845301
1,0,1,1.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,-1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,0,-1,1.0,1,0,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,0,1.0,1,0,1.0,1,0,1.0,1,0,1.0,1,0,1.0,1,1,1.4142135623730951,1,0,1.0,1,0,1.0,1,1,1.4142135623730951,1,0,1.0,1,1,1.4142135623730951,2,1,2.23606797749979,1,1,1.4142135623730951,1,1,1.4142135623730951,1,2,2.23606797749979,1,2,2.23606797749979,2,2,2.8284271247461903,1,2,2.23606797749979,1,3,3.1622776601683795,1,2,2.23606797749979,1,3,3.1622776601683795,1,2,2.23606797749979,1,3,3.1622776601683795,1,3,3.1622776601683795,1,3,3.1622776601683795,1,3,3.1622776601683795,1,3,3.1622776601683795,1,3,3.1622776601683795,1,3,3.1622776601683795,0,3,3.0,1,4,4.123105625617661,0,4,4.0,1,3,3.1622776601683795,0,2,2.0,0,1,1.0,0,-1,1.0,-1,-2,2.23606797749979,-1,-4,4.123105625617661,-2,-5,5.385164807134504,-1,-4,4.123105625617661,-1,-3,3.1622776601683795,-1,-3,3.1622776601683795,-1,-3,3.1622776601683795,-1,-3,3.1622776601683795,0,-1,1.0,1,-1,1.4142135623730951,2,1,2.23606797749979,2,3,3.605551275463989,3,4,5.0,2,6,6.324555320336759,2,5,5.385164807134504,1,5,5.0990195135927845,0,4,4.0,-1,2,2.23606797749979,-2,0,2.0,-1,-2,2.23606797749979,-1,-3,3.1622776601683795,0,-4,4.0,-1,-4,4.123105625617661,-1,-3,3.1622776601683795,-1,-3,3.1622776601683795,-1,-4,4.123105625617661,-1,-3,3.1622776601683795,0,0,0.0,3,6,6.324555320336759
1,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.4142135623730951,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1.0,-1,0,1.0,1,0,1.0,0,0,0.0,0,0,0.0,1,0,1.0,0,0,0.0,0,0,0.0,0,-1,1.0,1,0,1.0,0,0,0.0,1,0,1.0,0,0,0.0,1,1,1.4142135623730951,1,0,1.0,1,-1,1.4142135623730951,1,0,1.0,1,0,1.0,1,1,1.4142135623730951,2,0,2.0,1,0,1.0,1,1,1.4142135623730951,2,0,2.0,1,1,1.4142135623730951,2,0,2.0,1,1,1.4142135623730951,2,1,2.23606797749979,2,0,2.0,2,1,2.23606797749979,1,1,1.4142135623730951,2,1,2.23606797749979,2,2,2.8284271247461903,2,1,2.23606797749979,2,2,2.8284271247461903,2,2,2.8284271247461903,2,1,2.23606797749979,1,2,2.23606797749979,2,2,2.8284271247461903,1,1,1.4142135623730951,2,1,2.23606797749979,1,0,1.0,1,1,1.4142135623730951,1,1,1.4142135623730951,1,1,1.4142135623730951,0,0,0.0,-1,1,1.4142135623730951,1,2,2.23606797749979,-1,2,2.23606797749979,0,2,2.0,0,2,2.0,0,2,2.0,-1,1,1.4142135623730951,0,0,0.0,-1,0,1.0,-2,-3,3.605551275463989,-3,-4,5.0,-3,-4,5.0,-3,-4,5.0,-3,-3,4.242640687119285,-2,-3,3.605551275463989,-2,-3,3.605551275463989,-3,-3,4.242640687119285,0,-2,2.0,1,-1,1.4142135623730951,3,0,3.0,3,2,3.605551275463989,3,3,4.242640687119285,3,4,5.0,2,4,4.47213595499958,0,4,4.0,-1,2,2.23606797749979,-2,2,2.8284271247461903,-2,-1,2.23606797749979,-3,-2,3.605551275463989,-2,-2,2.8284271247461903,-1,-4,4.123105625617661,-2,-4,4.47213595499958,-2,-3,3.605551275463989,-2,-3,3.605551275463989,-3,-3,4.242640687119285,-3,-4,5.0,0,0,0.0,3,4,5.0
